user_id;game_name;language;has_older_device_model;age
5Xx7q8xw22flTcYbZ1XZVQ==;game 3;uk;false;26
C/7YatYfa4qFbB1omZ7Jjw==;game 2;uk;false;52
9nB4N3m82ypCK7nU2bHlsg==;game 3;uk;false;18
GUNmu9bjwltT1/vYgzDEDQ==;game 3;uk;true;16
BJlqmsfEshc/QjsD7VgEjg==;game 3;ru;false;18
72brUr/DKItStlTen5pHYg==;game 3;uk;false;24
lx3SsUV7NOrv93tCexVp5A==;game 3;uk;false;16
6ipBh7SPmBBGiuxQCIUYSQ==;game 3;uk;false;14
+XaSf2+oFw0h4r4lMGtlKg==;game 1;uk;false;28
dWvFmvH1mrX5ynKDMtIxew==;game 3;uk;false;19
q9TV+qvkgGGnF1B3Hpxi2A==;game 2;uk;false;32
O9T00LQC/16Lgl/6vAewxw==;game 3;uk;false;17
Yh9mYycPmc8CH9Rbjhu3ZQ==;game 3;uk;false;28
eta8WROtgGk5SWjifG5tKg==;game 3;uk;true;24
TNdhXWImewzfKgSZERKqHg==;game 1;uk;true;51
zEyHPUqp7tcf4Ph1pf8RVg==;game 3;uk;false;29
6mN0Jzk2AOKHZaR86dbp/w==;game 3;uk;false;27
0eReSP1wjrlaCrNarA17cg==;game 3;uk;false;30
l/xNwa0deBW/QHR7j4LODA==;game 1;uk;true;47
tYg70RALG5X84dBVTp2Y9A==;game 3;uk;false;22
JXA4uqo3jncMWO4LsSrZbQ==;game 3;uk;false;20
2+S3jssW8rtYXSPmexaaiA==;game 3;uk;false;38
OAAGTJfPU2ECPJT1KYm2ZQ==;game 3;uk;false;22
qmch9Rk8p6ZJNjt7HTQw4A==;game 3;ru;false;18
qLoIniwAYvPCzrtZ7Ln+ww==;game 3;uk;false;18
ZCrjrr7SNp46x1bAw6ykCQ==;game 3;uk;false;40
4b7l8C489HEJirtoe7xtFg==;game 3;uk;true;20
XSZxFQNeg3ZjIpbyTq/c/w==;game 3;ru;true;24
6ixbflHAI1ukNI8Q4yojng==;game 3;ru;false;28
c7pdTbhl0kCLttqnek0LkA==;game 3;uk;false;29
TRCpkFBj/nNBWSeMDiZ4PA==;game 3;ru;false;22
2KL9Q4TKLCcD4cngwhx6Dg==;game 3;ru;false;18
jq4fCcLGeHYv9qtV7BoMMA==;game 3;ru;false;23
8N2nO3Xpj2FxKXMN+tEVuA==;game 2;uk;false;42
tT9yKBTS8+fiseCYzs+xpg==;game 3;uk;false;27
RwtKwrRSrVpyAMRaDyhr8g==;game 3;uk;false;44
+LoQzx/2kX3kh4Ca2bD6SQ==;game 3;ru;false;17
fJmNupxgAjFNEunsTkTGvw==;game 3;uk;false;19
JBV4ilPNTtWevrqq146kyg==;game 3;uk;false;43
KGIOUXIH8DKGFJDqvZHRAg==;game 3;uk;true;20
xnLJlU804PSS9tXKmm7gZQ==;game 3;ru;true;21
q7uZmV3KuzJ/HG059ifMVA==;game 3;uk;false;34
/XThnQ3rpZ0NLqOuElrVRA==;game 1;uk;true;35
DorDcyqBWMg5IEaflqn5Xw==;game 3;ru;false;23
jhrmbU5/bjkLP47gh8/Yjw==;game 3;uk;false;15
dgBa9WGkPfw5k5+itQIC9w==;game 3;uk;false;34
oQnpBYNAEqjPpyum9+XLVA==;game 2;uk;false;47
DBKe4QcLb25HhRTC6JazsQ==;game 3;ru;false;42
ggagwJUZ4ncXasoKUYzMzA==;game 3;ru;false;30
pLv7PMKFhQ0q4b9RB4vEOQ==;game 3;ru;true;18
P0AOjzhlb3wF9MoqvkBEhg==;game 3;ru;false;33
GDlM+IReaY+ZJ8+MxPpC7Q==;game 3;uk;false;17
XbAPOAQ4Z60cq6q9N3I9TA==;game 3;uk;false;17
0MBHqF/oFZb7iJndJoaBQQ==;game 3;en;false;17
yDi2duZpOcKl7x5Q+3aY7A==;game 3;uk;false;15
G/qXLPgtjFftH23+1zISGg==;game 3;uk;false;14
PzSyKz5QykTf7M2n5eB1sA==;game 3;uk;false;33
5BZdt269P3V8V8xvYv/OmQ==;game 3;uk;false;17
OuYgDjgqsOgOICbrJyEoZg==;game 3;ru;false;18
bYCcx82A2CZ5DXqc4EMa7g==;game 3;ru;false;19
Wo2BzHwOUebru+DnFKwivQ==;game 1;uk;false;41
/4YcgOYcRluPAL9x02jtzQ==;game 3;uk;false;32
dERw2cry4kzpTzRLjM27xQ==;game 3;uk;false;20
4GUYXuGgkbXw6nOoUpq6CQ==;game 2;ru;false;23
pen9iduQvEJoGinzsKlpiA==;game 3;ru;false;17
GA9ZnCODF74rW30DWEp7yA==;game 3;ru;false;16
QiwIZmbzY4Zk0X+vQYZkpg==;game 3;uk;false;44
t7pNcUO2pIx8azQRxkWy8A==;game 3;uk;false;14
rVWKTgLtWjpFdj0A8fvQvA==;game 1;uk;true;31
kOlA/T9vCTUjU3j1c644Vw==;game 3;uk;true;25
QUOZlms+cuNNXF3B9AHrVA==;game 3;ru;true;35
FuVNhvuKvBpQRcUsG54+rQ==;game 3;ru;false;23
20jYSro7vKiVYryvHv3MOQ==;game 3;ru;false;34
VWtY9ogMNu9riL8WGD2i+Q==;game 2;uk;false;20
qCuYj9THPlzRc40F2bM4LQ==;game 1;uk;false;33
UJg/gEYkIMA9KLUYDfkP2w==;game 1;uk;false;24
/ujWGeU/Fac/JxNGlhJ6jg==;game 3;uk;false;23
LxF1OJau+7FfrZ1JDkZq4Q==;game 3;uk;false;29
jlvj4vdc2SE/75a50wRwvg==;game 3;uk;false;37
Otk0QSCAqFu5hoh8BVAiNQ==;game 3;en;false;44
AxfduYk209jC5u8HdanD1Q==;game 2;uk;false;36
lNz3NCrRszQN8m8Xurl1Qw==;game 1;uk;false;37
aKLDdgmiHPJhUcknMooOEQ==;game 3;ru;false;15
XMiU9IEBQ2WS1K+kP2fvow==;game 3;uk;false;17
qjfOo7qRt6bg4dDFFzOpNg==;game 3;uk;false;22
qYJ5k/vaLQ3YppOHh5eReQ==;game 3;ru;true;38
kgbFC9IkH4hptMQqHFNh1A==;game 3;uk;false;18
Do7NIWuMOX0+F/Bxbdq3Nw==;game 3;uk;false;34
kEn+L2IwCn5hFrvpqpsGlg==;game 3;ru;true;21
VuG6eVY8nz3W1joqx0F57w==;game 3;uk;false;17
mjpC3wRXF0kKxM5UVkxNqg==;game 3;uk;false;42
8TTRdxncZg7Nl0tvfwsZng==;game 3;uk;false;30
PDAeEyBHX4Lils8IAUifCg==;game 3;uk;false;34
N2J0LRWPhEP4/Iio8bFjtw==;game 2;uk;false;28
Kf73NRh76XR5giWlwrxqlg==;game 3;ru;false;14
Qsm9KOTkD4x16aLgZAUn/A==;game 3;ru;false;29
FF4h9+1iVnU3ZOol+uol5w==;game 2;uk;false;34
L+wA3BIaEKSpxf2uqmtJxQ==;game 3;uk;true;25
2Tm77AxZ7h7oCNKgCgMpnQ==;game 3;uk;false;23
jVMEU6ikx3+6jJEH0ZdZ2Q==;game 3;uk;false;27
t4oWnvWIHGwsRCHW3VKs8g==;game 3;uk;false;19
iEjGQCq6k08oQT/7vszJ0A==;game 3;uk;false;16
kVNpZakCY91vqeu4+oL6rw==;game 2;uk;false;32
gxaleJTv80hEly+b5XCtLg==;game 3;ru;false;35
LkszqDQo/UF7FVtf3GZiAA==;game 3;ru;false;30
YrqGO2E5O8oSGQh+0yHOzQ==;game 3;uk;false;33
kzudCIt0r+ihGvuIGCisVA==;game 3;uk;false;24
xKrb59Exl1bxnmTcyT8aFw==;game 3;uk;false;23
D5ezJUMqAh4rM8czP4j/yw==;game 3;uk;false;19
bZDMuXKM3RFajmZa/yIpsw==;game 3;uk;false;23
zH8UwV8zWTq1Mhn0FDSfyQ==;game 2;uk;false;27
