"user_id,""activity_date"",""game_activity_name"",""total_seconds"""
"5Xx7q8xw22flTcYbZ1XZVQ==,""2022-09-25"",game 3: Main campaign,266"
"5Xx7q8xw22flTcYbZ1XZVQ==,""2022-09-25"",game 3: Special events,43"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-05"",game 2: Battle pass challenges,51"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-28"",game 2: Battle pass challenges,846"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-13"",game 2: Battle pass challenges,656"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-26"",game 2: Battle pass challenges,559"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-07"",game 2: Battle pass challenges,1248"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-23"",game 2: Battle pass challenges,802"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-28"",game 2: Battle pass challenges,129"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-03"",game 2: Battle pass challenges,1881"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-16"",game 2: Battle pass challenges,197"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-25"",game 2: Battle pass challenges,17332"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-08"",game 2: Campaign,17"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-14"",game 2: Campaign,3"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-12"",game 2: Campaign,20"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-29"",game 2: Campaign,845"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-25"",game 2: Campaign,306"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-26"",game 2: Campaign,4"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-25"",game 2: Campaign,157"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-26"",game 2: Campaign,557"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-04"",game 2: Campaign,18"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-30"",game 2: Campaign,5"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-26"",game 2: Campaign,109"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-25"",game 2: Special events and challenges,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-13"",game 2: Special events and challenges,13"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-19"",game 2: Special events and challenges,2659"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-20"",game 2: Special events and challenges,76"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-26"",game 2: Special events and challenges,375"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-29"",game 2: Special events and challenges,549"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-11"",game 2: Special events and challenges,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-14"",game 2: Special events and challenges,2"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-26"",game 2: Special events and challenges,9"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-01"",game 2: Special events and challenges,1374"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-02"",game 2: Special events and challenges,2122"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-20"",game 2: Special events and challenges,83"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-31"",game 2: Mini-games,150"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-20"",game 2: Mini-games,12"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-06"",game 2: Clan activities,289"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-14"",game 2: Clan activities,1749"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-12"",game 2: Clan activities,12"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-15"",game 2: Clan activities,83"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-29"",game 2: Clan activities,1587"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-03"",game 2: Clan activities,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-25"",game 2: Clan activities,526"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-08-12"",game 2: Battle pass challenges,84"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-02"",game 2: Battle pass challenges,379"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-11"",game 2: Battle pass challenges,285"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-17"",game 2: Battle pass challenges,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-30"",game 2: Battle pass challenges,247"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-31"",game 2: Battle pass challenges,90"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-20"",game 2: Battle pass challenges,5"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-29"",game 2: Battle pass challenges,802"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-14"",game 2: Battle pass challenges,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-17"",game 2: Battle pass challenges,803"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-23"",game 2: Battle pass challenges,6295"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-28"",game 2: Campaign,1"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-15"",game 2: Campaign,2"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-19"",game 2: Campaign,7"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-24"",game 2: Campaign,3"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-30"",game 2: Campaign,23"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-11"",game 2: Campaign,459"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-12"",game 2: Campaign,551"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-15"",game 2: Campaign,26"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-17"",game 2: Campaign,198"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-24"",game 2: Campaign,138"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-10-28"",game 2: Campaign,110"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-13"",game 2: Campaign,2"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-11-28"",game 2: Campaign,21"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-17"",game 2: Campaign,179"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-18"",game 2: Campaign,63"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-12-19"",game 2: Campaign,16"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-07-24"",game 2: Campaign,22"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-13"",game 2: Special events and challenges,22"
"C/7YatYfa4qFbB1omZ7Jjw==,""2022-09-17"",game 2: Special events and challenges,564"
