"ad_date","campaign_name","total_spend","total_impressions","total_clicks","total_value","cpc","cpm","ctr","romi"
2022-11-05,Expansion,0.00,0,0,0.00,,,,
2022-11-01,Expansion,0.00,0,0,0.00,,,,
2022-10-31,Expansion,227.45,6054,58,191.87,3.92,37.57,0.00958044268252395111,0.84357001538799736206
2022-10-30,Expansion,335.91,27562,69,472.61,4.87,12.19,0.00250344677454466294,1.4069542436962282
2022-10-29,Expansion,714.03,33358,115,680.34,6.21,21.41,0.00344744888782301097,0.95281710852485189698
2022-10-28,Expansion,630.33,5522,121,590.00,5.21,114.15,0.02191235059760956175,0.93601764155283740263
2022-10-27,Expansion,359.63,45223,87,376.69,4.13,7.95,0.00192379983636645070,1.04743764424547451547
2022-07-11,Expansion,33.02,2674,40,47.02,0.83,12.35,0.01495886312640239342,1.4239854633555421
2022-07-10,Expansion,234.34,11266,74,254.62,3.17,20.80,0.00656843600213030357,1.08654092344456772211
2022-07-09,Expansion,461.70,25300,53,355.11,8.71,18.25,0.00209486166007905138,0.76913580246913580247
2022-07-08,Expansion,171.48,11348,98,185.34,1.75,15.11,0.00863588297497356362,1.08082575227431770469
2022-07-07,Hobbies,0.00,0,0,0.00,,,,
2022-07-06,Expansion,590.29,8726,39,616.48,15.14,67.65,0.00446940178776071510,1.0443680224974165
2022-07-05,Expansion,387.64,11470,138,658.17,2.81,33.80,0.01203138622493461203,1.6978897946548344
2022-07-05,Hobbies,0.00,0,0,0.00,,,,
2022-07-04,Expansion,488.16,9719,145,740.66,3.37,50.23,0.01491923037349521556,1.5172484431333989
2022-07-04,Hobbies,0.00,0,0,0.00,,,,
2022-07-03,Expansion,498.98,6802,36,717.34,13.86,73.36,0.00529256101146721552,1.4376127299691370
2022-07-03,Hobbies,0.00,0,0,0.00,,,,
2022-07-02,Expansion,510.73,18550,31,545.89,16.48,27.53,0.00167115902964959569,1.06884263700977032875
2022-07-02,Hobbies,0.00,0,0,0.00,,,,
2022-07-01,Expansion,383.20,20914,119,309.39,3.22,18.32,0.00568996844219183322,0.80738517745302713987
